CALIFORNIA ASPAR,加州勇將,A117,063,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A117&Option=1#htop
CALIFORNIA DISEGNO,加州騰龍,V170,091,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V170&Option=1#htop
CALIFORNIA JOY,加州再豫,T406,081,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T406&Option=1#htop
CALIFORNIA WHIP,加州議長,A114,094,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A114&Option=1#htop
CALL ME AWESOME,再創商機,V340,060,-1,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V340&Option=1#htop
CALL ME HANDSOME,可人兒,V331,068,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V331&Option=1#htop
CAPE THE FAITH,銳闖,V349,054,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V349&Option=1#htop
CARE FREE PRINCE,瀟灑王子,V069,057,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V069&Option=1#htop
CAREFREE LET GO,放下自在,T059,053,-2,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T059&Option=1#htop
CARRY TO WIN,吉利馬王,V305,036,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V305&Option=1#htop
CASA MASTER,領航大師,T160,054,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T160&Option=1#htop
CASH COURIER,天賦致寶,S417,041,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S417&Option=1#htop
CATCHMEIFYOUCAN,好富有,A026,032,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A026&Option=1#htop
CELEBRATION,金禧足球,A085,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A085&Option=1#htop
CELESTIAL ARROW,中游神箭,A169,068,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A169&Option=1#htop
CELESTIAL NOVA,中游新星,V045,068,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V045&Option=1#htop
CHARITY GLORY,好益善,T302,071,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T302&Option=1#htop
CHARITY JOY,喜益善,P278,091,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P278&Option=1#htop
CHARITY KINGDOM,行善積福,S278,062,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S278&Option=1#htop
CHARITY PLENTY,豐益善,T287,016,-3,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T287&Option=1#htop
CHATER LEGEND,金獅叻將,T151,078,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T151&Option=1#htop
CHEER WIN,志友運,V347,063,+2,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V347&Option=1#htop
CHEERFUL BOY,快樂寶貝,V019,072,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V019&Option=1#htop
CHEERFUL FRAME,相中有你,S300,036,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S300&Option=1#htop
CHEERFULJET,喜進,A188,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A188&Option=1#htop
CHEERS CONQUEROR,星二快勝,V320,050,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V320&Option=1#htop
CHEVALIER STAR,勇士勁,T167,070,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T167&Option=1#htop
CHIMBORAA,大美人,V411,085,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V411&Option=1#htop
